name,gender,organization,date,location,type_of_death,attack,role,region,year,staff_freelancer
Seyithan Akyüz,Male,Azadiya Welat,"December 7, 2009",Turkey,,Imprisoned,Journalist or Media Worker,Middle East,2009,Staff
Seyoum Tsehaye,Male,Setit,"September 21, 2001",Eritrea,,Imprisoned,Journalist or Media Worker,All other countries,2001,Staff
Sherwan Amin Sherwani,Male,Freelancer,In Iraqi Kurdistan on 10/7/2020,Iraq,,Imprisoned,Journalist or Media Worker,Middle East,2020,Freelancer
Shoret Nijat,Male,Uighurbiz,"January or February, 2014",China,,Imprisoned,Journalist or Media Worker,All other countries,2014,Staff
Siarhei Satsuk,Male,Yezhednevnik,"December 8, 2021",Belarus,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Siddique Kappan,Male,Freelancer,"October 5, 2020",India,,Imprisoned,Journalist or Media Worker,All other countries,2020,Freelancer
Sithu Aung Myint,Male,Freelancer,"August 15, 2021",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2021,Freelancer
Soe Yarzar Tun,Male,Freelancer,"March 10, 2022",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2022,Freelancer
Soulaiman Raissouni,Male,Akhbar al-Youm,"May 22, 2020",Morocco,,Imprisoned,Journalist or Media Worker,All other countries,2020,Staff
Suat Doğuhan,Male,PİYA Production Company,"June 8, 2022",Turkey,,Imprisoned,Journalist or Media Worker,Middle East,2022,Staff
Sultan al-Jumairi,Male,Freelancer,"September 1, 2018",Saudi Arabia,,Imprisoned,Journalist or Media Worker,Middle East,2018,Freelancer
Taoufik Bouachrine,Male,Akhbar al-Youm,"February 23, 2018",Morocco,,Imprisoned,Journalist or Media Worker,All other countries,2018,Staff
Tawfik Ghanem,Male,Anadolu,"May 21, 2021",Egypt,,Imprisoned,Journalist or Media Worker,Middle East,2021,Staff
Temesgen Ghebreyesus,Male,Keste Debena,"September 23, 2001",Eritrea,,Imprisoned,Journalist or Media Worker,All other countries,2001,Staff
Tesfay “Gomora” Ghebreab,Male,Setit,September 2001,Eritrea,,Imprisoned,Journalist or Media Worker,All other countries,2001,Staff
Than Soe Aung,Male,Freelancer,"March 7, 2022",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2022,Freelancer
Thaung Win,Male,The Irrawaddy,"September 29, 2022",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Théoneste Nsengimana,Male,Umubavu TV Online,"October 13, 2021",Rwanda,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Thomas Awah Junior,Male,"Aghem Messenger, Afrik2 Radio","January 2, 2017",Cameroon,,Imprisoned,Journalist or Media Worker,All other countries,2017,Staff
Thurein Kyaw,Male,Media TOP 4,"February 3, 2022",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Tin Shwe (Minbu),Male,Magway Post,"March 26, 2021",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Toe Aung,Male,Mekong News,"March 2, 2022",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Tran Huynh Duy Thuc (Tran Dong Chan),Male,Freelancer,"May 24, 2009",Vietnam,,Imprisoned,Journalist or Media Worker,All other countries,2009,Freelancer
Truong Chau Huu Danh,Male,Bao Sach (Clean Newspaper),"December 17, 2020",Vietnam,,Imprisoned,Journalist or Media Worker,All other countries,2020,Staff
Truong Duy Nhat,Male,Radio Free Asia,"January 28, 2019",Vietnam,,Imprisoned,Journalist or Media Worker,All other countries,2019,Staff
Tsi Conrad,Male,Freelancer,"December 8, 2016",Cameroon,,Imprisoned,Journalist or Media Worker,All other countries,2016,Freelancer
Tun Lynn,Male,Myanmar Light (Myanmar Alinn),"September 22, 2021",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Turki al-Jasser,Male,Freelancer,"March 15, 2018",Saudi Arabia,,Imprisoned,Journalist or Media Worker,Middle East,2018,Freelancer
Vahid Shademan,Male,Freelancer,"October 27, 2022",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Freelancer
Vilen Temeryanov,Male,Freelancer,"In occupied Crimea on August 11, 2022",Russia,,Imprisoned,Journalist or Media Worker,All other countries,2022,Freelancer
Vladimir Panfilov,Male,Resume,"August 2, 2022",Russia,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Vladislav Yesypenko,Male,Freelancer,"In Occupied Crimea on March 10, 2021",Russia,,Imprisoned,Journalist or Media Worker,All other countries,2021,Freelancer
Wai Lynn,Male,Thingangyun Post,"September 11, 2021",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Wajdi al-Ghazzawi,Male,Al-Fajr Media Group,"August 10, 2012",Saudi Arabia,,Imprisoned,Journalist or Media Worker,Middle East,2012,Staff
Win Naing Oo,Male,Channel Mandalay,"August 31, 2021",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Win Oo,Male,NHP News,"November 19, 2022",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Yaghma Fashkhami,Male,Modara,"November 2, 2022",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Staff
Yahor Martsinovich,Male,Nasha Niva,"July 8, 2021",Belarus,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Yan Katelevskiy,Male,"Rosderzhava, Ya.N.","July 29, 2020",Russia,,Imprisoned,Journalist or Media Worker,All other countries,2020,Staff
Yang Hengjun,Male,Freelancer,"January 19, 2019",China,,Imprisoned,Journalist or Media Worker,All other countries,2019,Freelancer
Yao Wentian (Yiu Man-tin),Male,Morning Bell Press,"October 27, 2013",China,,Imprisoned,Journalist or Media Worker,All other countries,2013,Staff
Yauhen Merkis,Male,Unknown,"September 13, 2022",Belarus,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Yeung Ching-kee,Male,"Apple Daily, Next Digital Limited","July 21, 2021",China,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Yury Hantsarevich,Male,Intex-Press,"April 27, 2022",Belarus,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Yury Hladchuk,Male,ABW.by,"June 16, 2022",Belarus,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Yusuf Mohamed Ali,Male,Tsigenay,"September 23, 2001",Eritrea,,Imprisoned,Journalist or Media Worker,All other countries,2001,Staff
Zarni Wah,Male,Sky Net,"March 12, 2022",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Zavqibek Saidamini,Male,Zavq TV,"July 8, 2022",Tajikistan,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Zaw Linn Htut (Phoe Thar),Male,Freelancer,"December 19, 2021",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2021,Freelancer
Zaw Tun,Male,Freelancer,"December 10, 2021",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2021,Freelancer
Zaw Ye Htet (Zaw Min Oo),Male,Dae Pyaw,"November 19, 2022",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Zaw Zaw,Male,Freelancer,"April 10, 2022",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2022,Freelancer
Zeynel Abidin Bulut,Male,Xwebün,"June 8, 2022",Turkey,,Imprisoned,Journalist or Media Worker,Middle East,2022,Staff
Zhou Weilin,Male,Weiquanwang,"March 12, 2020",China,,Imprisoned,Journalist or Media Worker,All other countries,2020,Staff
Zuhair Kutbi,Male,Freelancer,"January 10, 2019",Saudi Arabia,,Imprisoned,Journalist or Media Worker,Middle East,2019,Freelancer
Maisloon al-Jawady,Female,Al-Mosuliya TV,"June 29, 2014",Iraq,,Missing,Journalist or Media Worker,Middle East,2014,Staff
María Esther Aguilar Cansimbe,Female,"El Diario de Zamora,Cambio de Michoacán","November 11, 2009",Mexico,,Missing,Journalist or Media Worker,All other countries,2009,Staff
Yelena Petrova,Female,Lita-M,"August 11, 1996",Russia,,Missing,Journalist or Media Worker,All other countries,1996,Staff
