name,gender,organization,date,location,type_of_death,attack,role,region,year,staff_freelancer
Oloye Ayodele Samuel,Male,Taraba Truth & Facts,"November 28, 2022",Nigeria,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Omar Radi,Male,Le Desk,"July 29, 2020",Morocco,,Imprisoned,Journalist or Media Worker,All other countries,2020,Staff
Ömer Çelik,Male,Freelancer,"June 8, 2022",Turkey,,Imprisoned,Journalist or Media Worker,Middle East,2022,Freelancer
Omerjan Hasan,Male,Bozqir,April 2016,China,,Imprisoned,Journalist or Media Worker,All other countries,2016,Staff
Omid Tahan-Bidhendi,Male,Freelancer,"October 4, 2022",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Freelancer
Osman Arifmemetov,Male,Freelancer,"March 27, 2019",Russia,,Imprisoned,Journalist or Media Worker,All other countries,2019,Freelancer
Osman Zunun,Male,Kashgar Publishing House,Early 2018,China,,Imprisoned,Journalist or Media Worker,All other countries,2018,Staff
Otabek Sattoriy,Male,Xalq Fikri,"January 30, 2021",Uzbekistan,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Pape Alé Niang,Male,Dakarmatin,"November 6, 2022",Senegal,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Patrick Lola,Male,Freelancer,"January 10, 2022",Democratic Republic of the Congo,,Imprisoned,Journalist or Media Worker,All other countries,2022,Freelancer
Pavel Mazheika,Male,Freelancer,"August 30, 2022",Belarus,,Imprisoned,Journalist or Media Worker,All other countries,2022,Freelancer
Perhat Halmurat,Male,Uighurbiz,"January or February, 2014",China,,Imprisoned,Journalist or Media Worker,All other countries,2014,Staff
Pham Chi Dung,Male,Freelancer,"November 21, 2019",Vietnam,,Imprisoned,Journalist or Media Worker,All other countries,2019,Freelancer
Pham Chi Thanh (Pham Thanh),Male,Freelancer,"May 21, 2020",Vietnam,,Imprisoned,Journalist or Media Worker,All other countries,2020,Freelancer
Phan Kim Khanh,Male,"Vietnam Weekly, Anti-corruption Newspaper","March 21, 2017",Vietnam,,Imprisoned,Journalist or Media Worker,All other countries,2017,Staff
Phocas Ndayizera,Male,Freelancer,"November 21, 2018",Rwanda,,Imprisoned,Journalist or Media Worker,All other countries,2018,Freelancer
Polad Aslanov,Male,"Xeberman, Press-az","June 12, 2019",Azerbaijan,,Imprisoned,Journalist or Media Worker,All other countries,2019,Staff
Porya Mahdavi-Moghaddam,Male,Islamic Republic News Agency (IRNA),"October 21, 2022",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Staff
Pyae Phyo Aung,Male,Zayar Times,"October 11, 2021",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Qaraman Shukri,Male,Freelancer,In Iraqi Kurdistan on 1/27/2021,Iraq,,Imprisoned,Journalist or Media Worker,Middle East,2021,Freelancer
Rabie al-Sheikh,Male,Al-Jazeera,"August 1, 2021",Egypt,,Imprisoned,Journalist or Media Worker,Middle East,2021,Staff
Raman Pratasevich,Male,"NEXTA, Belarus Golovnogo Mozga","May 23, 2021",Belarus,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Ramazan Geciken,Male,PİYA Production Company,"June 8, 2022",Turkey,,Imprisoned,Journalist or Media Worker,Middle East,2022,Staff
Raouf Ebeid,Male,Rose al-Yousef,"July 7, 2022",Egypt,,Imprisoned,Journalist or Media Worker,Middle East,2022,Staff
Remzi Bekirov,Male,Grani,"March 27, 2019",Russia,,Imprisoned,Journalist or Media Worker,All other countries,2019,Staff
Reza Asadabadi,Male,Iranian Labour News Agency (ILNA),"November 23, 2022",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Staff
Ruhollah Nakhaee,Male,Freelancer,"September 23, 2022",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Freelancer
Rupesh Kumar Singh,Male,Freelancer,"July 17, 2022",India,,Imprisoned,Journalist or Media Worker,All other countries,2022,Freelancer
Rustem Sheikhaliev,Male,Freelancer,"March 27, 2019",Russia,,Imprisoned,Journalist or Media Worker,All other countries,2019,Freelancer
Ryan Law Wai-kwong,Male,"Apple Daily, Next Digital Limited","June 16, 2021",China,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Sahle Tsegazeab (Wedi Itay),Male,Freelancer,October 2001,Eritrea,,Imprisoned,Journalist or Media Worker,All other countries,2001,Freelancer
Sai Ko Ko Tun,Male,Freelancer,"November 30, 2021",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2021,Freelancer
Said Abdelkader,Male,Admas,September 2001,Eritrea,,Imprisoned,Journalist or Media Worker,All other countries,2001,Staff
Sajad Gul,Male,The Kashmir Walla,"January 5, 2022",India,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Sajjad Rahmani,Male,Freelancer,"November 29, 2022",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Freelancer
Saleh Aljazeeri,Male,"Dimtsi Hafash, Eritrea al-Haditha",February 2002,Eritrea,,Imprisoned,Journalist or Media Worker,All other countries,2002,Staff
Salman Güzelyüz,Male,Mezopotamya News Agency,"October 25, 2022",Turkey,,Imprisoned,Journalist or Media Worker,Middle East,2022,Staff
Sami al-Thubaiti,Male,Tawasul,September 2017,Saudi Arabia,,Imprisoned,Journalist or Media Worker,Middle East,2017,Staff
Sayed Ahmed al-Mosawi,Male,Freelancer,"February 10, 2014",Bahrain,,Imprisoned,Journalist or Media Worker,Middle East,2014,Freelancer
Sem Diya,Male,Battambang Post,"July 16, 2022",Cambodia,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Serdar Altan,Male,Freelancer,"June 8, 2022",Turkey,,Imprisoned,Journalist or Media Worker,Middle East,2022,Freelancer
Sergey Mikhaylov,Male,Listok,"April 13, 2022",Russia,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
